,Sample_no,시설ID,일,주차,내부CO2,내부습도,내부온도,강우감지,일사량,외부풍속,지습,급액횟수,급액EC(dS/m),급액pH,급액량(회당)
0,0,farm25,20220323,30주차,517.0416667,84.9854167,20.6108333,0.0,1879,0.0833333,0.0,14,2.68,4.42,88
1,0,farm25,20220324,30주차,514.4166667,88.29125,20.695,0.0,1411,0.0,0.0,14,2.78,5.63,97
2,0,farm25,20220326,30주차,471.875,83.5145833,20.4025,0.0,1955,0.0,0.0,14,2.69,4.25,101
3,0,farm25,20220327,30주차,469.25,80.91625,20.1391667,0.0,2231,0.0,0.0,14,2.7,4.25,99
4,0,farm25,20220328,30주차,465.75,82.02625,17.6533333,0.0,2284,0.0416667,0.0,13,2.66,4.21,94
5,0,farm25,20220329,30주차,471.75,82.875,17.38875,0.0,1902,0.0833333,0.0,15,2.67,4.69,90
6,1,farm25,20220323,30주차,517.0416667,84.9854167,20.6108333,0.0,1879,0.0833333,0.0,14,2.68,4.42,88
7,1,farm25,20220324,30주차,514.4166667,88.29125,20.695,0.0,1411,0.0,0.0,14,2.78,5.63,97
8,1,farm25,20220326,30주차,471.875,83.5145833,20.4025,0.0,1955,0.0,0.0,14,2.69,4.25,101
9,1,farm25,20220327,30주차,469.25,80.91625,20.1391667,0.0,2231,0.0,0.0,14,2.7,4.25,99
10,1,farm25,20220328,30주차,465.75,82.02625,17.6533333,0.0,2284,0.0416667,0.0,13,2.66,4.21,94
11,1,farm25,20220329,30주차,471.75,82.875,17.38875,0.0,1902,0.0833333,0.0,15,2.67,4.69,90
12,2,farm25,20220323,30주차,517.0416667,84.9854167,20.6108333,0.0,1879,0.0833333,0.0,14,2.68,4.42,88
13,2,farm25,20220324,30주차,514.4166667,88.29125,20.695,0.0,1411,0.0,0.0,14,2.78,5.63,97
14,2,farm25,20220326,30주차,471.875,83.5145833,20.4025,0.0,1955,0.0,0.0,14,2.69,4.25,101
15,2,farm25,20220327,30주차,469.25,80.91625,20.1391667,0.0,2231,0.0,0.0,14,2.7,4.25,99
16,2,farm25,20220328,30주차,465.75,82.02625,17.6533333,0.0,2284,0.0416667,0.0,13,2.66,4.21,94
17,2,farm25,20220329,30주차,471.75,82.875,17.38875,0.0,1902,0.0833333,0.0,15,2.67,4.69,90
18,3,farm25,20220323,30주차,517.0416667,84.9854167,20.6108333,0.0,1879,0.0833333,0.0,14,2.68,4.42,88
19,3,farm25,20220324,30주차,514.4166667,88.29125,20.695,0.0,1411,0.0,0.0,14,2.78,5.63,97
20,3,farm25,20220326,30주차,471.875,83.5145833,20.4025,0.0,1955,0.0,0.0,14,2.69,4.25,101
21,3,farm25,20220327,30주차,469.25,80.91625,20.1391667,0.0,2231,0.0,0.0,14,2.7,4.25,99
22,3,farm25,20220328,30주차,465.75,82.02625,17.6533333,0.0,2284,0.0416667,0.0,13,2.66,4.21,94
23,3,farm25,20220329,30주차,471.75,82.875,17.38875,0.0,1902,0.0833333,0.0,15,2.67,4.69,90
24,4,farm25,20220330,31주차,484.9583333,80.5270833,18.0704167,0.0,2218,0.0833333,0.0,15,2.66,4.71,91
