Sample_no,시설ID,일,주차,내부CO2,내부습도,내부온도,일사량,급액횟수,급액EC(dS/m),급액pH,급액량(회당)
0,farm25,20220323,30,517.0416667,84.9854167,20.6108333,1879,14,2.68,4.42,88
0,farm25,20220324,30,514.4166667,88.29125,20.695,1411,14,2.78,5.63,97
0,farm25,20220326,30,471.875,83.5145833,20.4025,1955,14,2.69,4.25,101
0,farm25,20220327,30,469.25,80.91625,20.1391667,2231,14,2.7,4.25,99
0,farm25,20220328,30,465.75,82.02625,17.6533333,2284,13,2.66,4.21,94
0,farm25,20220329,30,471.75,82.875,17.38875,1902,15,2.67,4.69,90
1,farm25,20220323,30,517.0416667,84.9854167,20.6108333,1879,14,2.68,4.42,88
1,farm25,20220324,30,514.4166667,88.29125,20.695,1411,14,2.78,5.63,97
1,farm25,20220326,30,471.875,83.5145833,20.4025,1955,14,2.69,4.25,101
1,farm25,20220327,30,469.25,80.91625,20.1391667,2231,14,2.7,4.25,99
1,farm25,20220328,30,465.75,82.02625,17.6533333,2284,13,2.66,4.21,94
1,farm25,20220329,30,471.75,82.875,17.38875,1902,15,2.67,4.69,90
2,farm25,20220323,30,517.0416667,84.9854167,20.6108333,1879,14,2.68,4.42,88
2,farm25,20220324,30,514.4166667,88.29125,20.695,1411,14,2.78,5.63,97
2,farm25,20220326,30,471.875,83.5145833,20.4025,1955,14,2.69,4.25,101
2,farm25,20220327,30,469.25,80.91625,20.1391667,2231,14,2.7,4.25,99
2,farm25,20220328,30,465.75,82.02625,17.6533333,2284,13,2.66,4.21,94
2,farm25,20220329,30,471.75,82.875,17.38875,1902,15,2.67,4.69,90
3,farm25,20220323,30,517.0416667,84.9854167,20.6108333,1879,14,2.68,4.42,88
3,farm25,20220324,30,514.4166667,88.29125,20.695,1411,14,2.78,5.63,97
3,farm25,20220326,30,471.875,83.5145833,20.4025,1955,14,2.69,4.25,101
3,farm25,20220327,30,469.25,80.91625,20.1391667,2231,14,2.7,4.25,99
3,farm25,20220328,30,465.75,82.02625,17.6533333,2284,13,2.66,4.21,94
3,farm25,20220329,30,471.75,82.875,17.38875,1902,15,2.67,4.69,90
4,farm25,20220330,31,484.9583333,80.5270833,18.0704167,2218,15,2.66,4.71,91
4,farm25,20220331,31,487.5,82.2779167,17.8195833,1887,14,2.7,5.03,96
4,farm25,20220401,31,471.375,80.15375,17.8341667,2341,14,2.69,5.24,93
4,farm25,20220402,31,486.875,80.19375,18.4575,2238,14,2.67,5.01,91
4,farm25,20220403,31,500.0416667,82.24875,19.555,2320,15,2.67,4.58,99
4,farm25,20220404,31,515.3333333,87.6808333,19.5270833,1556,13,2.75,5.67,91
4,farm25,20220405,31,514.2083333,87.0833333,21.3466667,2170,15,2.67,5.31,91
5,farm25,20220330,31,484.9583333,80.5270833,18.0704167,2218,15,2.66,4.71,91
5,farm25,20220331,31,487.5,82.2779167,17.8195833,1887,14,2.7,5.03,96
5,farm25,20220401,31,471.375,80.15375,17.8341667,2341,14,2.69,5.24,93
5,farm25,20220402,31,486.875,80.19375,18.4575,2238,14,2.67,5.01,91
5,farm25,20220403,31,500.0416667,82.24875,19.555,2320,15,2.67,4.58,99
5,farm25,20220404,31,515.3333333,87.6808333,19.5270833,1556,13,2.75,5.67,91
5,farm25,20220405,31,514.2083333,87.0833333,21.3466667,2170,15,2.67,5.31,91
6,farm25,20220330,31,484.9583333,80.5270833,18.0704167,2218,15,2.66,4.71,91
6,farm25,20220331,31,487.5,82.2779167,17.8195833,1887,14,2.7,5.03,96
6,farm25,20220401,31,471.375,80.15375,17.8341667,2341,14,2.69,5.24,93
6,farm25,20220402,31,486.875,80.19375,18.4575,2238,14,2.67,5.01,91
6,farm25,20220403,31,500.0416667,82.24875,19.555,2320,15,2.67,4.58,99
6,farm25,20220404,31,515.3333333,87.6808333,19.5270833,1556,13,2.75,5.67,91
6,farm25,20220405,31,514.2083333,87.0833333,21.3466667,2170,15,2.67,5.31,91
7,farm25,20220330,31,484.9583333,80.5270833,18.0704167,2218,15,2.66,4.71,91
7,farm25,20220331,31,487.5,82.2779167,17.8195833,1887,14,2.7,5.03,96
7,farm25,20220401,31,471.375,80.15375,17.8341667,2341,14,2.69,5.24,93
7,farm25,20220402,31,486.875,80.19375,18.4575,2238,14,2.67,5.01,91
7,farm25,20220403,31,500.0416667,82.24875,19.555,2320,15,2.67,4.58,99
7,farm25,20220404,31,515.3333333,87.6808333,19.5270833,1556,13,2.75,5.67,91
7,farm25,20220405,31,514.2083333,87.0833333,21.3466667,2170,15,2.67,5.31,91
8,farm25,20220406,32,504.875,93.5004167,18.3754167,365,8,2.65,5.75,93
8,farm25,20220412,32,478.0833333,80.9029167,18.98625,2134,14,2.65,5.32,90
10,farm25,20220406,32,504.875,93.5004167,18.3754167,365,8,2.65,5.75,93
10,farm25,20220412,32,478.0833333,80.9029167,18.98625,2134,14,2.65,5.32,90
11,farm25,20220406,32,504.875,93.5004167,18.3754167,365,8,2.65,5.75,93
11,farm25,20220412,32,478.0833333,80.9029167,18.98625,2134,14,2.65,5.32,90
13,farm33,20170305,30,424.5258333,83.8095833,20.23875,1538,14,2.83,5.6,87
