Sample_no,시설ID,일,주차,내부CO2,내부습도,내부온도,지온,강우감지,일사량,외부온도,외부풍향,외부풍속,지습,급액횟수,급액EC(dS/m),급액pH,급액량(회당),품종,재배형태
0,farm25,20220323,30주차,517.0416667,84.9854167,20.6108333,0.0,,1879,11.1666667,195.0,0.0833333,0.0,14,2.68,4.42,88,tomato09,
0,farm25,20220324,30주차,514.4166667,88.29125,20.695,0.0,,1411,12.7083333,142.5,0.0,0.0,14,2.78,5.63,97,tomato09,
0,farm25,20220326,30주차,471.875,83.5145833,20.4025,0.0,,1955,8.7916667,202.5,0.0,0.0,14,2.69,4.25,101,tomato09,
0,farm25,20220327,30주차,469.25,80.91625,20.1391667,0.0,,2231,8.0416667,180.0,0.0,0.0,14,2.7,4.25,99,tomato09,
0,farm25,20220328,30주차,465.75,82.02625,17.6533333,0.0,,2284,9.0,97.5,0.0416667,0.0,13,2.66,4.21,94,tomato09,
0,farm25,20220329,30주차,471.75,82.875,17.38875,0.0,,1902,10.125,135.0,0.0833333,0.0,15,2.67,4.69,90,tomato09,
1,farm25,20220323,30주차,517.0416667,84.9854167,20.6108333,0.0,,1879,11.1666667,195.0,0.0833333,0.0,14,2.68,4.42,88,tomato09,
1,farm25,20220324,30주차,514.4166667,88.29125,20.695,0.0,,1411,12.7083333,142.5,0.0,0.0,14,2.78,5.63,97,tomato09,
1,farm25,20220326,30주차,471.875,83.5145833,20.4025,0.0,,1955,8.7916667,202.5,0.0,0.0,14,2.69,4.25,101,tomato09,
1,farm25,20220327,30주차,469.25,80.91625,20.1391667,0.0,,2231,8.0416667,180.0,0.0,0.0,14,2.7,4.25,99,tomato09,
1,farm25,20220328,30주차,465.75,82.02625,17.6533333,0.0,,2284,9.0,97.5,0.0416667,0.0,13,2.66,4.21,94,tomato09,
1,farm25,20220329,30주차,471.75,82.875,17.38875,0.0,,1902,10.125,135.0,0.0833333,0.0,15,2.67,4.69,90,tomato09,
2,farm25,20220323,30주차,517.0416667,84.9854167,20.6108333,0.0,,1879,11.1666667,195.0,0.0833333,0.0,14,2.68,4.42,88,tomato09,
2,farm25,20220324,30주차,514.4166667,88.29125,20.695,0.0,,1411,12.7083333,142.5,0.0,0.0,14,2.78,5.63,97,tomato09,
2,farm25,20220326,30주차,471.875,83.5145833,20.4025,0.0,,1955,8.7916667,202.5,0.0,0.0,14,2.69,4.25,101,tomato09,
2,farm25,20220327,30주차,469.25,80.91625,20.1391667,0.0,,2231,8.0416667,180.0,0.0,0.0,14,2.7,4.25,99,tomato09,
2,farm25,20220328,30주차,465.75,82.02625,17.6533333,0.0,,2284,9.0,97.5,0.0416667,0.0,13,2.66,4.21,94,tomato09,
2,farm25,20220329,30주차,471.75,82.875,17.38875,0.0,,1902,10.125,135.0,0.0833333,0.0,15,2.67,4.69,90,tomato09,
3,farm25,20220323,30주차,517.0416667,84.9854167,20.6108333,0.0,,1879,11.1666667,195.0,0.0833333,0.0,14,2.68,4.42,88,tomato09,
3,farm25,20220324,30주차,514.4166667,88.29125,20.695,0.0,,1411,12.7083333,142.5,0.0,0.0,14,2.78,5.63,97,tomato09,
3,farm25,20220326,30주차,471.875,83.5145833,20.4025,0.0,,1955,8.7916667,202.5,0.0,0.0,14,2.69,4.25,101,tomato09,
3,farm25,20220327,30주차,469.25,80.91625,20.1391667,0.0,,2231,8.0416667,180.0,0.0,0.0,14,2.7,4.25,99,tomato09,
3,farm25,20220328,30주차,465.75,82.02625,17.6533333,0.0,,2284,9.0,97.5,0.0416667,0.0,13,2.66,4.21,94,tomato09,
3,farm25,20220329,30주차,471.75,82.875,17.38875,0.0,,1902,10.125,135.0,0.0833333,0.0,15,2.67,4.69,90,tomato09,
4,farm25,20220330,31주차,484.9583333,80.5270833,18.0704167,0.0,,2218,11.2916667,232.5,0.0833333,0.0,15,2.66,4.71,91,tomato09,
4,farm25,20220331,31주차,487.5,82.2779167,17.8195833,0.0,,1887,11.2916667,210.0,0.0,0.0,14,2.7,5.03,96,tomato09,
