Sample_no,조사일,주차,생장길이,줄기직경,개화군
0,20220330,30주차,208.0,6.9,16.67
1,20220330,30주차,172.0,6.8,17.33
2,20220330,30주차,150.0,9.3,16.0
3,20220330,30주차,121.0,5.9,16.2
4,20220406,31주차,175.0,5.8,17.4
5,20220406,31주차,155.0,5.3,18.17
6,20220406,31주차,195.0,8.2,17.0
7,20220406,31주차,165.0,10.5,17.0
8,20220413,32주차,125.0,4.2,18.25
10,20220413,32주차,198.0,6.5,17.6
11,20220413,32주차,141.0,9.2,17.8
13,20170312,30주차,230.0,8.2,6.1
14,20170312,30주차,250.0,12.8,7.4
15,20170312,30주차,200.0,10.5,6.1
16,20170319,31주차,140.0,10.0,7.0
17,20170319,31주차,150.0,10.5,7.4
18,20170319,31주차,160.0,13.3,6.7
20,20170326,32주차,290.0,7.5,8.4
21,20170326,32주차,180.0,9.0,6.8
22,20170326,32주차,210.0,9.8,8.7
24,20170430,37주차,230.0,8.2,6.0
25,20170430,37주차,250.0,8.7,6.0
26,20170430,37주차,300.0,8.0,7.0
32,20170514,39주차,180.0,8.0,6.0
33,20170514,39주차,170.0,9.2,6.0
34,20170514,39주차,220.0,3.8,8.0
35,20170514,39주차,200.0,4.6,7.0
36,20170312,30주차,230.0,5.7,9.7
37,20170312,30주차,210.0,4.5,8.4
38,20170312,30주차,220.0,7.7,6.7
39,20170312,30주차,240.0,4.5,8.0
41,20170319,31주차,190.0,7.0,6.0
43,20170319,31주차,220.0,7.5,7.4
44,20170326,32주차,190.0,7.2,9.0
45,20170326,32주차,200.0,7.7,6.7
46,20170326,32주차,190.0,5.5,6.0
47,20170326,32주차,200.0,7.5,8.3
48,20170312,32주차,6700.0,8.34,9.0
49,20170312,32주차,5200.0,10.89,7.3
50,20170312,32주차,7300.0,7.96,7.0
51,20170312,32주차,6800.0,10.52,5.7
52,20170319,33주차,257.0,7.12,4.7
53,20170319,33주차,271.0,9.05,4.0
54,20170319,33주차,258.0,6.97,3.3
55,20170319,33주차,237.0,7.16,2.7
58,20170326,34주차,194.0,7.22,0.0
59,20170326,34주차,236.0,7.86,0.0
60,20170416,37주차,170.0,4.58,2.0
61,20170416,37주차,220.0,2.56,2.0
62,20170416,37주차,220.0,5.87,2.0
63,20170416,37주차,230.0,4.53,1.6
64,20170423,38주차,223.0,3.9,2.0
65,20170423,38주차,203.0,7.86,1.0
66,20170423,38주차,220.0,7.61,1.0
67,20170423,38주차,180.0,7.55,2.0
68,20170430,39주차,200.0,6.21,1.0
69,20170430,39주차,170.0,7.74,1.6
70,20170430,39주차,190.0,7.72,2.0
72,20170319,33주차,120.0,9.0,6.3
73,20170319,33주차,160.0,10.0,6.3
74,20170319,33주차,140.0,8.8,7.0
76,20170326,34주차,340.0,8.0,6.7
77,20170326,34주차,220.0,8.1,7.1
78,20170326,34주차,210.0,7.0,7.3
79,20170326,34주차,220.0,9.6,7.4
80,20191015,10주차,0.0,5.0,0.2
81,20191015,10주차,0.0,4.0,0.2
82,20191015,10주차,0.0,5.0,0.4
83,20191015,10주차,0.0,6.0,0.2
84,20191022,11주차,315.0,5.6,1.1
86,20191022,11주차,280.0,6.1,1.3
87,20191022,11주차,295.0,9.7,1.3
88,20191029,12주차,305.0,9.3,3.9
89,20191029,12주차,352.0,12.0,4.2
90,20191029,12주차,268.0,8.0,4.4
91,20191029,12주차,285.0,10.9,4.6
92,20191105,13주차,272.0,4.8,5.4
93,20191105,13주차,242.0,4.9,6.5
94,20191105,13주차,203.0,7.9,6.9
95,20191105,13주차,250.0,6.2,7.1
98,20191112,14주차,235.0,5.8,5.1
99,20191112,14주차,232.0,10.9,5.7
100,20191119,15주차,151.0,7.4,6.9
102,20191119,15주차,49.0,10.8,7.2
104,20191126,16주차,29.0,12.0,6.9
105,20191126,16주차,31.0,6.8,3.7
